State,City,Date,AQI,PM2.5,n_PM2.5,PM10,n_PM10,NO2,n_NO2,SO2,n_SO2,NH3,n_NH3,CO,n_CO,O3,n_O3,tempmax,tempmin,precip,windspeed,winddir,solarradiation,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precipprob,precipcover,snow,snowdepth,windgust,sealevelpressure,cloudcover,visibility,solarenergy,uvindex
Delhi,Delhi,01-01-2017,345,213.192,10,343.363,8,47.6345,11,19.922,5,77.8533,6,5.5775,4,43.055,4,22.2,9.4,0,16.6,89.5,148.2,15.6,22.2,9.4,15.6,12.7,84.7,0,0,0,0,31.7,1016.3,1.1,1.2,12.7,6
Delhi,Delhi,02-01-2017,337,191.199,8,382.616,5,62.6256,9,18.3067,6,78.3583,6,4.584,5,39.044,5,23.6,11,0,9.2,326,152.1,16.2,23.6,11,16.2,13.2,84.1,0,0,0,0,20.5,1018.2,6,0.9,13.1,6
Delhi,Delhi,03-01-2017,331,187.049,9,365.222,5,66.85,9,18.7083,6,76.9767,6,6.028,5,42.144,5,23.5,10.8,0,9.4,270.7,157.2,15.6,23.5,10.8,15.6,12.9,85.6,0,0,0,0,17.6,1018.4,35.5,0.8,13.5,6
Delhi,Delhi,04-01-2017,381,194.639,9,346.418,5,66.0489,9,19.7617,6,93.3883,6,4.868,5,52.592,5,24.8,10.2,0,11.2,157.9,162.6,16.8,24.8,10.2,16.8,12.4,78.2,0,0,0,0,18.7,1016,0,1.2,14.1,6
Delhi,Delhi,05-01-2017,321,192.943,9,331.446,5,65.1733,9,20.0083,6,87.0717,6,5.43,5,62.086,5,24.9,11.3,0,9.4,269,164.3,17.1,24.9,11.3,17.1,13.2,79.9,0,0,0,0,16.9,1014.3,0,1.5,14.2,6
Delhi,Delhi,06-01-2017,351,164.98,9,259.134,5,59.5189,9,14.795,6,73.2533,6,2.4,5,47.316,5,24,13.2,0,14.1,121.9,141.2,18,24,13.2,18,14.8,83,0,0,0,0,37.4,1012,10.8,1.5,12.3,5
Delhi,Delhi,07-01-2017,278,123.346,9,178.928,5,45.7956,9,13.0733,6,54.18,6,1.752,5,19.1,4,16,13,2.299,21.3,109.8,92.6,14.6,16,13,14.6,13.8,95.5,100,12.5,0,0,29.2,1011.5,70.6,1,8,3
Delhi,Delhi,08-01-2017,288,128.056,9,220.284,5,54.5522,9,21.0667,6,48.4467,6,2.18,5,44.996,5,20.2,11.7,0,7.7,59.5,146.4,14.8,20.2,11.7,14.8,12.6,87.4,0,0,0,0,20.9,1014.9,36.1,1.2,12.6,6
Delhi,Delhi,09-01-2017,308,124.497,10,248.308,5,58.843,10,18.3857,7,45.5617,6,1.938,5,46.7333,6,18.8,9.9,0,12.3,305.9,164.4,13.5,18.8,9.9,13.5,10.9,85.5,0,0,0,0,24.5,1015.6,18.9,1.1,14.2,6
Delhi,Delhi,10-01-2017,247,98.534,10,222.16,5,56.567,10,14.5714,7,40.425,6,2.0725,4,56.9267,6,17.6,6,0,21,290.9,179.3,11.5,17.6,6,11.3,5.6,72.2,0,0,0,0,32.8,1016.3,0,2.3,15.4,7
Delhi,Delhi,11-01-2017,280,137.631,10,281.774,5,63.1056,9,19.8629,7,46.162,5,2.41333,6,54.638,5,16.9,5.2,0,20,275.5,178.8,10.4,16.9,2.6,10,4.8,70.2,0,0,0,0,27.7,1016.7,6,1.8,15.4,7
Delhi,Delhi,12-01-2017,323,193.165,10,400.5,5,67.261,10,27.8629,7,56.6833,6,2.904,5,56.5583,6,18,4.2,0,15.1,283.1,177.2,10.6,18,4.2,10.5,6.1,75.9,0,0,0,0,22.7,1016.3,0.2,1.5,15.5,7
Delhi,Delhi,13-01-2017,326,204.787,10,396.58,5,71.604,10,23.9971,7,65.3617,6,4.638,5,62.6083,6,19,5.2,0,14.1,298,180.4,11.5,19,5.2,11.4,6,72.7,0,0,0,0,23.8,1017.2,0,1.4,15.6,7
Delhi,Delhi,14-01-2017,384,273.8,9,502.225,4,71.1122,9,17.9767,6,71.408,5,4.185,4,37.21,2,18.9,4.4,0,11.3,291.4,162.2,11.8,18.9,4.4,11.8,7.2,75.3,0,0,0,0,19.1,1018.6,36.3,1.2,14,6
Delhi,Delhi,15-01-2017,326,188.48,10,359.4,5,71.1878,9,25.2286,7,67.642,5,3.296,5,78.385,6,23,9,0,7.6,150.7,173.7,15.7,23,9,15.7,8.9,66.7,0,0,0,0,15.5,1017.9,43.6,1.4,15.1,7
Delhi,Delhi,16-01-2017,355,149.826,10,260.07,5,49.93,10,16.4614,7,58.3167,6,2.072,5,31.394,5,18.6,9.8,0,20.5,300.5,172,13.8,18.6,7.7,13.6,9.3,75.2,0,0,0,0,25.6,1016.7,30.5,1.3,14.9,7
Delhi,Delhi,17-01-2017,245,127.839,10,199.342,5,43.907,10,15.2129,7,45.8233,6,2.034,5,40.035,6,15,5,0,13,285,177.8,10,15,2.1,9.1,8,87.8,0,0,0,0,27,1018.4,30.9,1,15.5,7
Delhi,Delhi,18-01-2017,317,155.713,10,253.88,5,62.5422,9,19.3014,7,51.012,5,1.81,5,42.0733,6,19,5,0,11.8,315.7,180.9,11.4,19,5,11.3,8.1,81.3,0,0,0,0,25.6,1021.4,20.5,1.2,15.7,7
Delhi,Delhi,19-01-2017,300,146.927,10,211.84,5,45.9933,9,15.3829,7,37.764,5,1.834,5,43.2633,6,20.7,6.8,0,15.4,289,179.7,12.5,20.7,5.2,12.1,8.8,80.2,0,0,0,0,31,1022.7,12.5,1.4,15.5,7
Delhi,Delhi,20-01-2017,216,138.639,10,199.008,5,54.371,10,15.1871,7,39.9883,6,1.922,5,55.5933,6,19.8,6,0,18,283.2,167.4,12.1,19.8,4.4,11.5,7.8,78.4,0,0,0,0,28.4,1021.8,31.9,1.3,14.4,7
Delhi,Delhi,21-01-2017,286,254.157,6,238.08,1,56.2533,6,17.95,3,48.5167,3,0.62,1,34.27,2,19,5,0,13.4,267.4,134.3,12.7,19,3.3,12.4,8.5,78,0,0,0,0,21.6,1020.4,39.9,1.1,11.6,5
Delhi,Delhi,22-01-2017,365,239.093,6,356.68,1,49.885,6,14.9567,3,66.4167,3,1.67,1,36.62,2,23.2,9,0,10.5,302.7,175.5,15.7,23.2,7.9,15.7,12.2,81,0,0,0,0,24.1,1021.2,16.3,1.3,15,7
Delhi,Delhi,23-01-2017,309,157.506,10,307.112,5,63.765,10,19.0229,7,51.7333,6,3.2925,4,51.2667,6,24,9,0,14.4,286.1,180.2,16.2,24,8.5,16.1,12.6,81.4,0,0,0,0,27.7,1019.9,5.1,1.2,15.6,7
Delhi,Delhi,24-01-2017,336,181.664,10,408.042,5,78.642,10,19.6857,7,73.6533,6,5.184,5,62.4683,6,25.1,11,0,9.4,347.5,174.8,17.4,25.1,11,17.4,12,73.8,0,0,0,0,21.2,1018.5,20.4,1.2,15.1,7
Delhi,Delhi,25-01-2017,366,196.256,10,374.414,5,77.002,10,18.1314,7,82.095,6,5.0775,4,39.4683,6,25.8,13.4,0.597,23.1,108.7,144.6,19.2,25.8,13.4,19.2,14.5,76,100,4.17,0,0,37.4,1018.3,52.8,1.3,12.4,6
Delhi,Delhi,26-01-2017,324,105.822,10,154.026,5,49.25,10,15.0086,7,45.2517,6,1.2425,4,14.455,6,18.2,14,29.918,21,74.5,42.3,16.4,18.2,14,16.4,15.1,92.2,100,20.83,0,0,33.5,1017.7,80.7,1,3.6,2
Delhi,Delhi,27-01-2017,118,59.9378,9,72.658,5,37.736,10,11.9443,7,32.7083,6,1.164,5,29.6017,6,19.6,12,0.2,20.3,275.2,118,15.1,19.6,12,15.1,12.6,86.1,100,8.33,0,0,37.1,1017.8,47.4,1.5,10.1,5
Delhi,Delhi,28-01-2017,212,91.45,10,147.984,5,40.24,10,13.1714,7,31.4383,6,1.354,5,27.9867,6,18.8,10,0,15.9,281.2,161.1,13.8,18.8,8.7,13.7,11.7,88.2,0,0,0,0,27,1019.6,43.2,0.8,13.9,6
Delhi,Delhi,29-01-2017,211,103.721,9,180.786,5,42.397,10,14.6786,7,33.24,6,2.596,5,38.5817,6,21,11,0,16.9,271.8,185,15,21,11,15,12.1,84.2,0,0,0,0,32.8,1017.2,44.5,1.1,16,7
Delhi,Delhi,30-01-2017,294,142.077,10,281.788,5,58.835,10,16.2886,7,52.3733,6,3.67,5,46.18,6,21.8,10.8,0,13.6,271.4,180.7,15.4,21.8,10.8,15.4,11.9,81.9,0,0,0,0,19.8,1015.8,28.4,1,15.6,7
Delhi,Delhi,31-01-2017,366,165.463,10,282.374,5,64.525,10,18.5014,7,67.12,6,4.4,5,42.87,6,22.9,10,0,16.2,310,180.7,16.5,22.9,10,16.5,12.3,78.8,0,0,0,0,26.6,1015.3,3.4,1.3,15.6,7
Delhi,Delhi,01-02-2017,273,117.387,10,235.672,5,54.962,10,14.6471,7,54.5517,6,3.59,5,37.6517,6,21.8,10,0,16.2,278.1,197.4,15.5,21.8,10,15.5,11.7,80.8,0,0,0,0,24.5,1016.9,16,1.2,16.9,7
Delhi,Delhi,02-02-2017,327,174.077,10,374.956,5,71.648,10,16.1586,7,80.345,6,3.588,5,49.1233,6,23.6,9.3,0,9.4,302.7,195.8,16.3,23.6,9.3,16.3,10.5,72.4,0,0,0,0,17.3,1019.1,26.5,1.6,16.9,7
Delhi,Delhi,03-02-2017,314,181.086,10,388.574,5,70.65,10,16.8229,7,79.7717,6,4.622,5,65.6283,6,24.8,10.2,0,10,262.7,198.9,16.9,24.8,10.2,16.9,11.5,73.6,0,0,0,0,20.2,1017.8,30.9,1.5,16.9,7
Delhi,Delhi,04-02-2017,336,155.531,10,286.096,5,61.676,10,13.2157,7,68.0067,6,2.926,5,50.8167,6,23,13.1,0,18.4,114.3,165.8,18,23,13.1,18,14.5,81.1,0,0,0,0,36.7,1014.8,48.4,1.3,14.3,6
Delhi,Delhi,05-02-2017,260,131.724,9,256.113,4,50.775,10,14.72,7,53.1267,6,3.274,5,50.93,5,23,16,0,23.9,104.8,148.4,18.9,23,16,18.9,15,78.9,0,0,0,0,37.8,1013.7,55.1,1.4,13,7
Delhi,Delhi,06-02-2017,306,140.99,9,340.428,4,52.548,10,12.7114,7,52.6367,6,3.242,5,31.7,6,23.1,12.6,0,19.8,301.6,193.5,17,23.1,12.6,17,12.4,77.1,0,0,0,0,28.1,1015.8,34.8,1.6,16.7,7
Delhi,Delhi,07-02-2017,148,72.336,10,189.556,5,49.409,10,11.8029,7,33.9617,6,1.844,5,55.5667,6,21.8,9,0,17.3,291.3,203,15,21.8,7.6,14.8,8.6,67.7,0,0,0,0,29.9,1016.1,21.4,2.7,17.5,7
Delhi,Delhi,08-02-2017,254,116.328,10,288.936,5,64.139,10,15.5243,7,41.415,6,2.496,5,61.4417,6,23.8,9.8,0,17.4,269.6,207.5,16,23.8,9.8,16,9.2,68,0,0,0,0,22.7,1015.2,25.3,1.9,17.9,8
Delhi,Delhi,09-02-2017,268,116.129,10,267.674,5,61.442,10,16.3786,7,44.9933,6,1.786,5,57.05,6,22,10,0,22.9,289.4,208.7,15.9,22,10,15.9,10,70.6,0,0,0,0,33.5,1016.2,1.1,1.9,17.9,8
Delhi,Delhi,10-02-2017,249,96.166,10,233.452,5,57.657,10,19.6657,7,48.505,6,2.114,5,53.01,6,22.1,9,0,20.5,282.9,214.2,15.2,22.1,8.5,15.2,9.3,71,0,0,0,0,33.1,1015.6,0,2.1,18.6,8
Delhi,Delhi,11-02-2017,239,112.358,10,264.006,5,59.425,10,17.4986,7,58.7533,6,1.434,5,57.6367,6,23.8,8,0,11.8,302.3,216.5,16,23.8,8,15.9,8.2,64.9,0,0,0,0,20.9,1016.3,0,2.3,18.8,8
Delhi,Delhi,12-02-2017,274,127.858,10,249.07,5,65.2,10,21.8471,7,75.065,6,1.864,5,90.4617,6,24.6,9.8,0,11.2,355.6,210.8,16.5,24.6,9.8,16.5,9.9,67.8,0,0,0,0,16.9,1019.4,0,1.9,18.1,8
Delhi,Delhi,13-02-2017,279,116.02,10,254.974,5,66.36,10,17.5229,7,63.3333,6,1.988,5,70.7033,6,24.5,10,0,15.1,291.9,217.8,16.7,24.5,10,16.7,10.2,68.9,0,0,0,0,25.6,1021.3,5.7,2,18.8,8
Delhi,Delhi,14-02-2017,303,151.254,10,296.738,5,70.97,10,17.5129,7,53.895,6,2.438,5,71.5283,6,24.8,9,0,16.9,284.6,221.4,17.2,24.8,7.9,17.1,10.1,66.4,0,0,0,0,28.8,1021.4,13.2,1.8,19.2,8
Delhi,Delhi,15-02-2017,294,148.654,10,319.624,5,72.929,10,18.0757,7,56.8983,6,2.12,5,64.7417,6,26.8,11,0,16.9,276.1,216.8,18.2,26.5,11,18.2,10.7,65.4,0,0,0,0,25.6,1020.7,3.3,2.3,18.8,8
